Date,Price,Date_From,Date_To
2016-02-16,2.44,2016-05-27,2016-06-17
2016-02-16,2.44,2016-06-03,2016-06-24
2016-02-16,2.44,2016-06-10,2016-07-01
2016-02-16,2.44,2016-06-17,2016-07-08
2016-02-16,2.44,2016-06-24,2016-07-15
2016-02-16,4.72,2016-02-26,2016-03-18
2016-02-16,4.72,2016-02-26,2016-03-25
2016-02-16,5.03,2016-04-01,2016-04-29
2016-02-16,5.03,2016-04-08,2016-05-06
2016-02-16,5.03,2016-04-15,2016-05-13
2016-02-16,5.03,2016-04-22,2016-05-20
2016-02-16,5.03,2016-04-29,2016-05-27
2016-02-16,5.03,2016-05-06,2016-06-03
2016-02-16,5.03,2016-05-13,2016-06-10
2016-02-16,5.03,2016-05-20,2016-06-17
2016-02-16,5.03,2016-05-27,2016-06-24
2016-02-16,5.03,2016-06-03,2016-07-01
2016-02-16,5.03,2016-06-10,2016-07-08
2016-02-16,5.03,2016-06-17,2016-07-15
2016-02-16,5.03,2016-06-24,2016-07-22
2016-02-16,6.00,2016-03-04,2016-04-01
2016-02-16,6.00,2016-03-11,2016-04-08
2016-02-16,6.00,2016-03-18,2016-04-15
2016-02-16,8.17,2016-02-19,2016-03-11
2016-02-16,8.17,2016-02-19,2016-03-18
2016-02-16,10.43,2016-03-25,2016-04-15
2016-02-16,11.17,2016-10-07,2016-10-28
